# locator_insert_force 경로 inclusive 함수 표 — 전체 529개 (컷오프 없음)
# denom = root_samples = 43840

 %of_root   samples  func
    0.406       178  pgbuf_lru_add_new_bcb_to_top
    0.395       173  spage_get_record
    0.392       172  pgbuf_set_lsa
    0.390       171  logtb_find_tranid
    0.381       167  pgbuf_unlatch_thrd_holder
    0.376       165  xlogtb_reset_wait_msecs
    0.367       161  vacuum_get_log_blockid
    0.354       155  or_header_size
    0.349       153  log_diff
    0.344       151  or_rep_id
    0.344       151  pgbuf_get_bcb_from_invalid_list
    0.338       148  pgbuf_find_thrd_holder
    0.335       147  __gthread_mutex_unlock
    0.326       143  prior_lsa_copy_undo_data_to_node
    0.324       142  ATOMIC_INC_32<int, int>
    0.324       142  pgbuf_lru_adjust_zones
    0.317       139  log_sysop_start
    0.315       138  spage_find_slot
    0.306       134  btree_insert
    0.303       133  heap_page_get_vacuum_status
    0.301       132  heap_clean_get_context
    0.299       131  unlink_chunk.isra.2
    0.297       130  lock_insert_into_tran_hold_list
    0.297       130  LOG_FIND_CURRENT_TDES
    0.294       129  cubpl::get_session
    0.285       125  heap_attrinfo_recache_attrepr
    0.283       124  log_tdes::unlock_topop
    0.274       120  pgbuf_is_lsa_temporary
    0.271       119  heap_scancache_quick_start_root_hfid
    0.265       116  heap_get_last_version
    0.260       114  __tls_get_addr
    0.253       111  pgbuf_wakeup_reader_writer
    0.251       110  set_waiter_exists
    0.249       109  prior_lsa_append_data
    0.246       108  log_prior_lsa_append_advance_when_doesnot_fit
    0.228       100  __strlen_evex
    0.228       100  pgbuf_ordered_unfix
    0.217        95  xdisk_get_purpose
    0.210        92  pgbuf_bcb_change_zone
    0.210        92  pgbuf_replace_watcher
    0.208        91  pgbuf_bcb_register_hit_for_lru
    0.205        90  session_get_pl_session
    0.203        89  heap_attrinfo_access
    0.203        89  log_tdes::lock_topop
    0.196        86  ATOMIC_CAS_32<int, int, int>
    0.194        85  pgbuf_remove_thrd_holder
    0.194        85  heap_attrinfo_clear_dbvalues
    0.194        85  lf_callback_vpid_hash
    0.192        84  ATOMIC_CAS_ADDR<void>
    0.189        83  heap_page_update_chain_after_mvcc_op
    0.185        81  thread_get_thread_entry_info
    0.182        80  or_header_size@plt
    0.180        79  tp_domain_disk_size
    0.178        78  mht_put_internal
    0.176        77  heap_attrvalue_transform_to_dbvalue
    0.173        76  heap_create_insert_context
    0.173        76  mht_rem
    0.171        75  perfmon_is_perf_tracking
    0.169        74  pgbuf_ordered_set_dirty_and_free
    0.167        73  er_errid
    0.160        70  lf_tran_start
    0.155        68  hl_lea_alloc
    0.151        66  pgbuf_remove_watcher
    0.148        65  __GI___pthread_mutex_trylock
    0.148        65  logtb_find_wait_msecs
    0.146        64  spage_initialize
    0.144        63  cubthread::get_entry
    0.139        61  log_tdes::is_system_worker_transaction
    0.139        61  spage_add_new_slot
    0.137        60  mvcc_is_mvcc_disabled_class@plt
    0.135        59  cubpl::session::is_sp_running
    0.135        59  spage_get_record_data
    0.135        59  log_zip@plt
    0.132        58  mspace_free
    0.132        58  cubpl::session::is_thread_involved
    0.130        57  logpb_get_memsize
    0.128        56  boot_find_root_heap
    0.128        56  pgbuf_lru_adjust_zone1
    0.125        55  pgbuf_lru_fall_bcb_to_zone_3
    0.125        55  pgbuf_search_hash_chain
    0.125        55  pthread_mutex_lock@plt
    0.123        54  or_class_name
    0.123        54  log_prior_lsa_append_align
    0.121        53  heap_attrinfo_read_dbvalues@plt
    0.119        52  pgbuf_get_vpid_ptr
    0.119        52  log_can_skip_undo_logging
    0.114        50  btree_mvcc_info_from_heap_mvcc_header
    0.112        49  lock_escalate_if_needed
    0.112        49  pgbuf_get_holder
    0.112        49  heap_insert_adjust_recdes_header
    0.112        49  pr_type_from_id
    0.109        48  db_value_domain_init
    0.107        47  prm_get_integer_value
    0.105        46  heap_attrinfo_recache
    0.105        46  log_sysop_end_final
    0.103        45  spage_get_record@plt
    0.100        44  logtb_get_current_tran_index
    0.100        44  pgbuf_lock_page
    0.100        44  perfmon_add_stat
    0.100        44  perfmon_inc_stat
    0.098        43  heap_hash_vpid
    0.096        42  heap_hash_hfid
    0.096        42  lf_tran_end@plt
    0.096        42  LZ4_compress_fast_extState@plt
    0.094        41  log_zip_realloc_if_needed
    0.094        41  LZ4_compress_fast_extState
    0.094        41  or_class_name@plt
    0.091        40  pgbuf_bcb_register_fix
    0.091        40  spage_find_free_slot
    0.089        39  pgbuf_unfix@plt
    0.089        39  mht_rem2
    0.087        38  LSA_COPY
    0.087        38  btree_set_mvcc_header_ids_for_update
    0.087        38  or_chn
    0.087        38  spage_verify_header
    0.084        37  cuberr::context::get_thread_local_error
    0.082        36  log_sysop_get_tran_index_and_tdes
    0.080        35  hl_lea_free
    0.080        35  btree_insert@plt
    0.080        35  pgbuf_latch_bcb_upon_fix
    0.080        35  heap_compare_hfid
    0.080        35  malloc@plt
    0.080        35  logtb_get_current_mvccid@plt
    0.080        35  logtb_is_active
    0.078        34  malloc_consolidate
    0.075        33  log_zip_realloc_if_needed@plt
    0.075        33  mr_data_readval_int
    0.075        33  mspace_malloc
    0.075        33  lock_res_key_hash
    0.075        33  __GI___pthread_mutex_unlock
    0.075        33  heap_page_get_vacuum_status@plt
    0.075        33  heap_scancache_quick_start_internal
    0.073        32  btree_set_mvcc_header_ids_for_update@plt
    0.071        31  pgbuf_notify_vacuum_follows
    0.071        31  heap_prepare_get_context@plt
    0.071        31  __gthread_mutex_lock
    0.071        31  heap_is_big_length
    0.071        31  pgbuf_is_bcb_victimizable
    0.068        30  pgbuf_bcb_set_dirty
    0.068        30  pgbuf_get_volume_id
    0.068        30  cuberr::context::get_thread_local_context
    0.068        30  pgbuf_is_temp_lsa
    0.068        30  pgbuf_get_vpid_ptr@plt
    0.066        29  __GI___libc_free
    0.066        29  heap_get_class_name_alloc_if_diff@plt
    0.066        29  memcpy@plt
    0.066        29  pgbuf_is_temporary_volume
    0.064        28  prior_lsa_end_append
    0.064        28  pr_clear_value
    0.062        27  heap_clean_get_context@plt
    0.062        27  LZ4_compressBound@plt
    0.062        27  heap_attrinfo_start_with_index@plt
    0.062        27  oid_check_cached_class_oid
    0.062        27  logtb_find_tranid@plt
    0.062        27  heap_scancache_check_with_hfid
    0.059        26  pthread_mutex_unlock@plt
    0.059        26  cubthread::lockfree_hashmap<lk_res_key, lk_res>::find_or_insert@plt
    0.059        26  heap_scancache_quick_start_root_hfid@plt
    0.057        25  logtb_find_current_tranid@plt
    0.057        25  xdisk_get_purpose@plt
    0.057        25  or_chn@plt
    0.057        25  heap_attrvalue_locate
    0.057        25  free@plt
    0.055        24  heap_init_get_context
    0.055        24  log_tdes::is_system_transaction@plt
    0.055        24  pgbuf_get_tde_algorithm@plt
    0.052        23  pgbuf_set_dirty@plt
    0.052        23  pgbuf_find_current_wait_msecs
    0.052        23  boot_find_root_heap@plt
    0.052        23  pgbuf_ordered_unfix@plt
    0.052        23  heap_scan_pb_lock_and_fetch
    0.052        23  pgbuf_replace_watcher@plt
    0.050        22  heap_get_record_data_when_all_ready@plt
    0.050        22  heap_classrepr_get@plt
    0.050        22  lock_object@plt
    0.050        22  heap_attrvalue_locate@plt
    0.050        22  __tls_get_addr@plt
    0.050        22  prior_lsa_alloc_and_copy_crumbs@plt
    0.048        21  or_rep_id@plt
    0.048        21  pgbuf_bcb_update_flags
    0.048        21  log_tdes::is_system_worker_transaction@plt
    0.048        21  LSA_ISNULL
    0.046        20  log_sysop_end_begin
    0.046        20  pgbuf_get_volume_id@plt
    0.046        20  log_append_undoredo_crumbs@plt
    0.046        20  spage_max_record_size
    0.046        20  spage_set_slot
    0.043        19  LZ4_compressBound
    0.043        19  LOG_PRIOR_LSA_LAST_APPEND_OFFSET@plt
    0.043        19  log_is_in_crash_recovery
    0.043        19  __bswap_32
    0.043        19  oid_check_cached_class_oid@plt
    0.043        19  heap_get_class_record@plt
    0.043        19  spage_is_unknown_slot
    0.043        19  pgbuf_get_page_id
    0.041        18  pgbuf_lru_add_bcb_to_top
    0.041        18  session_get_session_state
    0.039        17  fileio_set_page_lsa
    0.039        17  db_private_alloc_release
    0.039        17  pgbuf_ordered_fix_release
    0.039        17  pgbuf_lockfree_unfix_ro
    0.039        17  heap_attrinfo_end@plt
    0.036        16  __lll_unlock_wake_private
    0.036        16  prm_get_bool_value
    0.036        16  spage_find_free_slot@plt
    0.036        16  lf_tran_end
    0.036        16  lf_tran_start@plt
    0.036        16  lock_get_hash_value
    0.036        16  prior_lsa_next_record@plt
    0.034        15  lock_get_class_lock@plt
    0.034        15  pgbuf_set_bcb_page_vpid
    0.032        14  log_is_in_crash_recovery@plt
    0.032        14  lock_check_escalate
    0.032        14  heap_attrvalue_get_key@plt
    0.032        14  log_append_get_zip_redo@plt
    0.032        14  lock_get_new_entry
    0.032        14  vacuum_is_mvccid_vacuumed
    0.032        14  pgbuf_fix_release@plt
    0.032        14  pgbuf_ordered_fix_release@plt
    0.032        14  pgbuf_ordered_set_dirty_and_free@plt
    0.030        13  cub_free
    0.030        13  heap_insert_logical@plt
    0.030        13  tp_domain_disk_size@plt
    0.030        13  db_private_free_release
    0.030        13  _int_free
    0.030        13  log_prior_lsa_append_add_align
    0.030        13  db_private_alloc_release@plt
    0.027        12  pgbuf_set_lsa@plt
    0.027        12  pgbuf_get_tde_algorithm
    0.027        12  cuberr::context::get_thread_local_error@plt
    0.027        12  pr_clear_value@plt
    0.027        12  cubthread::get_entry@plt
    0.027        12  heap_get_class_name@plt
    0.027        12  file_table_add_full_sector
    0.027        12  heap_scancache::start_area@plt
    0.027        12  pr_type_from_id@plt
    0.027        12  spage_find_slot_for_insert
    0.025        11  rmutex_unlock
    0.025        11  file_alloc@plt
    0.025        11  or_get_int
    0.025        11  spage_insert_at@plt
    0.025        11  get_impl
    0.025        11  spage_max_record_size@plt
    0.025        11  log_tdes::is_system_transaction
    0.025        11  btree_mvcc_info_from_heap_mvcc_header@plt
    0.025        11  strlen@plt
    0.025        11  pgbuf_is_lsa_temporary@plt
    0.025        11  heap_scancache::start_area
    0.023        10  rmutex_lock
    0.023        10  heap_attrinfo_clear_dbvalues@plt
    0.023        10  log_data_addr::log_data_addr@plt
    0.023        10  log_append_undoredo_data@plt
    0.023        10  heap_get_class_name
    0.023        10  file_partsect_alloc
    0.023        10  LSA_LE
    0.023        10  pgbuf_set_page_ptype
    0.023        10  log_append_get_zip_redo
    0.023        10  heap_scancache::end_area
    0.023        10  file_perm_expand
    0.023        10  vacuum_get_log_blockid@plt
    0.023        10  ATOMIC_INC_64<long, int>
    0.023        10  oid_is_serial
    0.021         9  logtb_get_current_tran_index@plt
    0.021         9  file_log_fhead_alloc
    0.021         9  bit64_count_trailing_zeros@plt
    0.021         9  heap_get_last_page
    0.021         9  check_supplemental_log
    0.021         9  cubpl::get_session@plt
    0.021         9  logtb_find_client_type@plt
    0.021         9  pgbuf_set_tde_algorithm
    0.021         9  heap_init_get_context@plt
    0.021         9  pgbuf_get_page_id@plt
    0.021         9  logtb_find_wait_msecs@plt
    0.021         9  heap_classrepr_entry_remove_from_LRU
    0.021         9  log_skip_logging@plt
    0.018         8  heap_scancache_end@plt
    0.018         8  hl_lea_free@plt
    0.018         8  cub_free@plt
    0.018         8  heap_compare_vpid
    0.018         8  locator_add_or_remove_index
    0.018         8  mmon_is_memory_monitor_enabled
    0.018         8  or_init
    0.018         8  logtb_is_active@plt
    0.018         8  xlogtb_reset_wait_msecs@plt
    0.018         8  spage_initialize@plt
    0.018         8  spage_number_of_slots
    0.018         8  log_append_undoredo_data2@plt
    0.018         8  heap_classrepr_free@plt
    0.016         7  pgbuf_lru_boost_bcb
    0.016         7  prior_lsa_next_record
    0.016         7  mht_rem@plt
    0.016         7  heap_get_mvcc_header@plt
    0.016         7  LOG_PRIOR_LSA_LAST_APPEND_OFFSET
    0.016         7  cuberr::context::get_current_error_level
    0.016         7  __GI___pthread_mutex_init
    0.016         7  cuberr::context::get_thread_local_context@plt
    0.016         7  heap_attrinfo_access@plt
    0.016         7  bit64_count_trailing_ones
    0.016         7  pgbuf_unlock_page
    0.016         7  lf_freelist_transport
    0.014         6  cubthread::worker_pool::core::worker::run
    0.014         6  css_server_task::execute
    0.014         6  slocator_repl_force
    0.014         6  execute_native_thread_routine
    0.014         6  start_thread
    0.014         6  cubthread::worker_pool::core::worker::execute_current_task
    0.014         6  __GI___clone
    0.014         6  net_server_request
    0.014         6  pgbuf_set_tde_algorithm@plt
    0.014         6  pgbuf_bcb_check_and_reset_fix_and_avoid_dealloc
    0.014         6  log_tdes::on_sysop_start
    0.014         6  mht_adjust_lru_list@plt
    0.014         6  logtb_find_current_tranid
    0.014         6  mht_put_new@plt
    0.014         6  log_diff@plt
    0.014         6  lf_hash_find@plt
    0.014         6  btree_insert_internal
    0.014         6  lf_stack_pop@plt
    0.014         6  mspace_malloc@plt
    0.014         6  pgbuf_allocate_thrd_holder_entry
    0.014         6  mht_rem2@plt
    0.011         5  cubthread::is_single_thread@plt
    0.011         5  oid_is_serial@plt
    0.011         5  pgbuf_get_lsa@plt
    0.011         5  pgbuf_set_page_ptype@plt
    0.011         5  logtb_is_interrupted
    0.011         5  log_append_get_zip_undo@plt
    0.011         5  heap_scancache::end_area@plt
    0.011         5  lock_alloc_entry
    0.011         5  log_sysop_end_logical_undo@plt
    0.011         5  perfmon_is_perf_tracking_and_active
    0.011         5  PGBUF_THREAD_HAS_PRIVATE_LRU
    0.011         5  vacuum_is_mvccid_vacuumed@plt
    0.011         5  PRIM_SET_NULL
    0.011         5  log_append_get_zip_undo
    0.011         5  mht_adjust_lru_list
    0.011         5  log_sysop_start@plt
    0.011         5  __lll_lock_wait_private
    0.009         4  bit64_count_trailing_ones@plt
    0.009         4  log_tdes::on_sysop_end
    0.009         4  lf_list_find@plt
    0.009         4  lf_hash_find_or_insert
    0.009         4  pgbuf_notify_vacuum_follows@plt
    0.009         4  mht_get@plt
    0.009         4  bit64_set
    0.009         4  prior_lsa_alloc_and_copy_data@plt
    0.009         4  prior_update_header_mvcc_info
    0.009         4  bit64_count_trailing_zeros
    0.009         4  pgbuf_hash_func_mirror
    0.009         4  er_errid@plt
    0.009         4  memset@plt
    0.009         4  logpb_get_memsize@plt
    0.009         4  pgbuf_add_watch_instance_internal
    0.009         4  sys_alloc
    0.007         3  cub_realloc
    0.007         3  log_append_realloc_data_ptr
    0.007         3  xlocator_repl_force
    0.007         3  lf_hash_find_or_insert@plt
    0.007         3  hl_lea_alloc@plt
    0.007         3  db_value_domain_init@plt
    0.007         3  heap_get_last_version@plt
    0.007         3  rmutex_unlock@plt
    0.007         3  heap_is_big_length@plt
    0.007         3  thread_get_tran_entry
    0.007         3  mspace_free@plt
    0.007         3  heap_classrepr_get_from_record
    0.007         3  log_tdes::is_active_worker_transaction@plt
    0.007         3  heap_link_watchers
    0.007         3  db_private_get_heapid_from_thread
    0.007         3  spage_number_of_slots@plt
    0.007         3  pgbuf_bcb_is_async_flush_request
    0.007         3  heap_insert_physical
    0.007         3  pgbuf_should_move_private_to_shared
    0.007         3  lf_freelist_claim@plt
    0.007         3  spage_check_record_for_insert
    0.007         3  db_make_null
    0.007         3  log_sysop_commit@plt
    0.007         3  db_value_domain_type
    0.007         3  bit64_set@plt
    0.005         2  heap_create_insert_context@plt
    0.005         2  heap_scancache_end_internal
    0.005         2  spage_max_space_for_new_record@plt
    0.005         2  cubpl::session::is_sp_running@plt
    0.005         2  pthread_mutex_init@plt
    0.005         2  log_tdes::is_active_worker_transaction
    0.005         2  lock_res_key_copy
    0.005         2  pthread_mutex_trylock@plt
    0.005         2  db_private_free_release@plt
    0.005         2  lock_create_search_key
    0.005         2  cuberr::context::get_current_error_level@plt
    0.005         2  cubthread::entry::get_id@plt
    0.005         2  lock_conv
    0.005         2  log_tdes::lock_topop@plt
    0.005         2  logtb_get_check_interrupt
    0.005         2  vacuum_produce_log_block_data
    0.005         2  heap_prepare_get_context
    0.002         1  mvcctable::get_global_oldest_visible
    0.002         1  pgbuf_get_lsa
    0.002         1  LZ4_resetStream_fast@plt
    0.002         1  __GI___qsort_r
    0.002         1  file_extdata_find_not_full
    0.002         1  db_User_page_size
    0.002         1  lock_init_entry
    0.002         1  heap_stats_entry_free
    0.002         1  log_skip_logging
    0.002         1  mht_get2@plt
    0.002         1  log_tdes::unlock_topop@plt
    0.002         1  log_sysop_start_atomic@plt
    0.002         1  heap_get_mvcc_header
    0.002         1  logtb_is_interrupted@plt
    0.002         1  file_partsect_is_empty
    0.002         1  disk_compare_vsids
    0.002         1  file_extdata_find_ordered
    0.002         1  util_bsearch
    0.002         1  msort_with_tmp.part.0
    0.002         1  session_get_pl_session@plt
    0.002         1  file_partsect_set_bit
    0.002         1  log_data_addr::log_data_addr
    0.002         1  mht_put_new
    0.002         1  pgbuf_lockfree_fix_ro
    0.002         1  vacuum_is_thread_vacuum_worker
    0.002         1  lock_dealloc_entry
    0.002         1  pgbuf_assign_direct_victim
    0.002         1  heap_get_record_data_when_all_ready
    0.002         1  log_tdes::on_sysop_end@plt
    0.002         1  lf_freelist_transport@plt
    0.002         1  heap_unfix_watchers
    0.002         1  cubpl::session::is_thread_involved@plt
    0.002         1  pgbuf_check_bcb_page_vpid
    0.002         1  lock_compat
