# locator_update_force 경로 inclusive 함수 표 — 전체 401개 (컷오프 없음)
# denom = root_samples = 29001

 %of_root   samples  func
    1.203       349  malloc_consolidate
    1.186       344  prior_lsa_copy_redo_data_to_node
    1.176       341  heap_page_update_chain_after_mvcc_op
    1.124       326  heap_scancache::alloc_area
    1.124       326  pgbuf_set_lsa
    1.010       293  unlink_chunk.isra.2
    0.969       281  cubmem::single_block_allocator::single_block_allocator
    0.886       257  heap_classrepr_get
    0.886       257  heap_attrinfo_end
    0.883       256  operator new
    0.855       248  cub_calloc
    0.786       228  __calloc
    0.779       226  LSA_COPY
    0.752       218  fileio_set_page_lsa
    0.714       207  __GI___qsort_r
    0.686       199  heap_attrinfo_read_dbvalues
    0.679       197  heap_update_set_prev_version
    0.624       181  cubmem::block_allocator::block_allocator
    0.597       173  heap_classrepr_free
    0.586       170  cubmem::single_block_allocator::reserve
    0.572       166  std::_Function_base::_Base_manager<std::_Bind<void (cubmem::single_block_allocator::*(cubmem::single_block_allocator*, std::_Placeholder<1>))(cubmem::block&)> >::_M_manager
    0.569       165  msort_with_tmp.part.0
    0.528       153  lf_tran_start
    0.517       150  spage_get_record
    0.517       150  logtb_find_tranid
    0.500       145  mvcc_is_mvcc_disabled_class
    0.479       139  spage_find_slot
    0.455       132  heap_update_adjust_recdes_header
    0.428       124  heap_get_mvcc_header
    0.410       119  or_mvcc_get_header
    0.379       110  spage_save_space
    0.376       109  heap_scancache::assign_recdes_to_area
    0.366       106  heap_attrvalue_read
    0.359       104  LOG_FIND_CURRENT_TDES
    0.355       103  lock_find_class_entry
    0.348       101  vacuum_get_log_blockid
    0.328        95  __tls_get_addr
    0.321        93  heap_page_get_vacuum_status
    0.303        88  lf_callback_vpid_hash
    0.297        86  heap_create_update_context
    0.293        85  pgbuf_set_dirty_buffer_ptr
    0.290        84  heap_attrinfo_recache_attrepr
    0.279        81  xdisk_get_purpose
    0.269        78  logtb_get_current_mvccid
    0.269        78  pgbuf_is_lsa_temporary
    0.262        76  lock_res_key_hash
    0.255        74  heap_scancache_block_allocate
    0.252        73  heap_update_physical
    0.252        73  __lll_lock_wait
    0.248        72  __lll_unlock_wake
    0.245        71  logtb_find_current_tranid@plt
    0.245        71  perfmon_is_perf_tracking
    0.238        69  heap_clear_operation_context
    0.238        69  logtb_find_client_type
    0.234        68  spage_get_record_type
    0.231        67  pgbuf_wakeup_reader_writer
    0.228        66  prior_lsa_append_data
    0.228        66  lock_get_hash_value
    0.224        65  pgbuf_lru_boost_bcb
    0.224        65  spage_get_record@plt
    0.224        65  set_waiter_exists
    0.224        65  log_zip@plt
    0.217        63  pgbuf_unlatch_thrd_holder
    0.214        62  heap_attrvalue_point_fixed
    0.210        61  heap_prepare_get_context
    0.210        61  heap_get_record_location
    0.210        61  lock_dealloc_resource
    0.197        57  ATOMIC_INC_32<int, int>
    0.197        57  pgbuf_ordered_unfix
    0.193        56  log_is_in_crash_recovery
    0.190        55  pgbuf_set_dirty
    0.190        55  lf_hash_delete_internal
    0.186        54  lf_tran_end@plt
    0.183        53  oid_check_cached_class_oid
    0.183        53  log_can_skip_undo_logging
    0.176        51  logtb_is_active
    0.172        50  heap_scancache_check_with_hfid
    0.172        50  ATOMIC_INC_64<unsigned long, int>
    0.166        48  hl_lea_alloc
    0.159        46  prm_get_integer_value
    0.155        45  or_mvcc_set_log_lsa_to_record
    0.155        45  __GI___libc_free
    0.152        44  thread_get_thread_entry_info
    0.152        44  __GI___pthread_mutex_trylock
    0.145        42  logtb_find_isolation
    0.145        42  lock_delete_from_tran_hold_list
    0.141        41  lock_get_class_lock
    0.141        41  pgbuf_get_vpid_ptr@plt
    0.141        41  lock_event_set_xasl_id_to_entry
    0.138        40  prior_lsa_start_append
    0.138        40  log_append_undoredo_recdes2@plt
    0.138        40  log_zip_realloc_if_needed
    0.134        39  pgbuf_find_thrd_holder
    0.131        38  perfmon_inc_stat
    0.131        38  perfmon_add_stat
    0.128        37  spage_is_unknown_slot
    0.128        37  std::_Function_base::_Base_manager<std::_Bind<void (cubmem::single_block_allocator::*(cubmem::single_block_allocator*, std::_Placeholder<1>, std::_Placeholder<2>))(cubmem::block&, unsigned long)> >::_M_manager
    0.128        37  pthread_mutex_lock@plt
    0.124        36  log_tdes::is_system_worker_transaction@plt
    0.117        34  cubthread::get_entry
    0.114        33  spage_is_updatable@plt
    0.114        33  LZ4_compress_fast_extState@plt
    0.114        33  lock_conv
    0.114        33  check_supplemental_log
    0.110        32  xdisk_get_purpose@plt
    0.110        32  log_append_undoredo_recdes@plt
    0.110        32  pgbuf_is_temp_lsa
    0.110        32  heap_scan_pb_lock_and_fetch
    0.107        31  LZ4_compressBound
    0.107        31  log_zip_realloc_if_needed@plt
    0.107        31  memcpy@plt
    0.100        29  pgbuf_bcb_change_zone
    0.100        29  spage_verify_header
    0.100        29  log_is_in_crash_recovery@plt
    0.097        28  mspace_malloc
    0.097        28  memmove@plt
    0.097        28  pgbuf_remove_watcher
    0.093        27  ATOMIC_CAS_32<int, int, int>
    0.093        27  malloc@plt
    0.093        27  heap_init_get_context
    0.093        27  lf_tran_start@plt
    0.090        26  cub_free
    0.090        26  logpb_get_memsize
    0.090        26  heap_scancache::reserve_area@plt
    0.090        26  log_tdes::is_system_worker_transaction
    0.086        25  logtb_get_current_tran_index
    0.086        25  heap_attrinfo_recache
    0.086        25  db_private_alloc_release
    0.086        25  lf_tran_compute_minimum_transaction_id
    0.083        24  mvcc_is_mvcc_disabled_class@plt
    0.083        24  logtb_find_tranid@plt
    0.083        24  cubmem::single_block_allocator::get_ptr
    0.083        24  __lll_lock_wait_private
    0.079        23  pgbuf_notify_vacuum_follows
    0.079        23  pgbuf_remove_from_lru_list
    0.079        23  vacuum_is_mvccid_vacuumed
    0.076        22  spage_compact@plt
    0.076        22  spage_compare_slot_offset
    0.076        22  pgbuf_get_vpid_ptr
    0.076        22  heap_is_big_length@plt
    0.076        22  heap_attrinfo_clear_dbvalues
    0.076        22  ATOMIC_CAS_ADDR<void>
    0.076        22  log_prior_lsa_append_advance_when_doesnot_fit
    0.072        21  vacuum_is_mvccid_vacuumed@plt
    0.072        21  LZ4_compress_fast_extState
    0.072        21  heap_prepare_object_page
    0.072        21  db_private_get_heapid_from_thread
    0.072        21  cubmem::single_block_allocator::get_size@plt
    0.072        21  logtb_find_current_mvccid
    0.069        20  logtb_find_current_tran_lsa@plt
    0.069        20  pgbuf_remove_thrd_holder
    0.066        19  pgbuf_lru_add_bcb_to_top
    0.066        19  or_mvcc_get_repid_and_flags@plt
    0.062        18  operator delete
    0.062        18  db_private_alloc_release@plt
    0.062        18  or_rep_id
    0.062        18  logtb_find_current_tran_lsa
    0.062        18  heap_attrvalue_transform_to_dbvalue
    0.062        18  __lll_unlock_wake_private
    0.062        18  lf_hash_find@plt
    0.059        17  cubmem::single_block_allocator::reserve@plt
    0.059        17  or_header_size
    0.059        17  or_mvcc_set_log_lsa_to_record@plt
    0.059        17  spage_max_record_size@plt
    0.059        17  oid_is_serial
    0.059        17  log_append_undoredo_crumbs@plt
    0.059        17  logtb_is_active@plt
    0.059        17  heap_is_big_length
    0.059        17  log_prior_lsa_append_align
    0.059        17  spage_set_slot
    0.059        17  locator_update_index@plt
    0.055        16  oid_check_cached_class_oid@plt
    0.055        16  mmon_is_memory_monitor_enabled
    0.055        16  prm_get_bool_value
    0.055        16  heap_scancache::alloc_area@plt
    0.055        16  oid_is_serial@plt
    0.052        15  pgbuf_get_tde_algorithm@plt
    0.052        15  mspace_free
    0.052        15  heap_scancache::assign_recdes_to_area@plt
    0.048        14  log_append_get_zip_redo@plt
    0.048        14  logtb_find_current_mvccid@plt
    0.048        14  __GI___pthread_mutex_unlock
    0.048        14  pgbuf_unfix@plt
    0.048        14  heap_attrinfo_read_dbvalues@plt
    0.048        14  LOG_PRIOR_LSA_LAST_APPEND_OFFSET@plt
    0.048        14  or_rep_id@plt
    0.048        14  locator_lock_and_get_object_with_evaluation@plt
    0.048        14  pgbuf_get_page_ptype
    0.048        14  pgbuf_bcb_update_flags
    0.048        14  operator new@plt
    0.048        14  spage_get_slot
    0.045        13  locator_update_index
    0.045        13  prior_lsa_alloc_and_copy_crumbs@plt
    0.045        13  or_mvcc_get_repid_and_flags
    0.045        13  pgbuf_get_holder
    0.041        12  cubmem::single_block_allocator::get_ptr@plt
    0.041        12  pthread_mutex_unlock@plt
    0.041        12  log_diff@plt
    0.041        12  __gthread_mutex_unlock
    0.038        11  std::_Function_handler<void (cubmem::block&, unsigned long), void (*)(cubmem::block&, unsigned long)>::_M_invoke
    0.038        11  db_value_domain_init
    0.038        11  free@plt
    0.038        11  or_mvcc_get_prev_version_lsa
    0.038        11  pgbuf_ordered_fix_release
    0.038        11  calloc@plt
    0.038        11  logtb_get_current_mvccid@plt
    0.038        11  sys_alloc
    0.034        10  spage_max_record_size
    0.034        10  LSA_ISNULL
    0.034        10  LOG_PRIOR_LSA_LAST_APPEND_OFFSET
    0.034        10  pgbuf_ordered_fix_release@plt
    0.034        10  pgbuf_set_lsa@plt
    0.034        10  lock_check_escalate
    0.034        10  heap_page_get_vacuum_status@plt
    0.034        10  log_tdes::is_system_transaction
    0.034        10  __bswap_32
    0.034        10  memset@plt
    0.034        10  __tls_get_addr@plt
    0.034        10  css_internal_request_handler
    0.034        10  execute_native_thread_routine
    0.034        10  cubthread::worker_pool::core::worker::execute_current_task
    0.034        10  xlocator_repl_force
    0.034        10  slocator_repl_force
    0.034        10  start_thread
    0.034        10  css_server_task::execute
    0.034        10  cubthread::worker_pool::core::worker::run
    0.034        10  __GI___clone
    0.034        10  net_server_request
    0.031         9  or_mvcc_get_header@plt
    0.031         9  heap_create_update_context@plt
    0.031         9  LSA_SET_NULL
    0.031         9  qsort@plt
    0.031         9  lf_tran_end
    0.031         9  pgbuf_set_dirty@plt
    0.031         9  pgbuf_get_tde_algorithm
    0.028         8  __gthread_mutex_lock
    0.028         8  logtb_find_client_type@plt
    0.028         8  logtb_find_current_isolation
    0.028         8  heap_scan_cache_allocate_area@plt
    0.028         8  __GI_qsort
    0.028         8  heap_attrinfo_end@plt
    0.024         7  prior_lsa_end_append
    0.024         7  heap_get_mvcc_header@plt
    0.024         7  lf_hash_find_or_insert@plt
    0.024         7  vacuum_get_log_blockid@plt
    0.024         7  spage_get_record_type@plt
    0.024         7  heap_attrinfo_start_with_index@plt
    0.024         7  pgbuf_lru_advance_victim_hint
    0.024         7  pgbuf_get_page_ptype@plt
    0.024         7  logtb_find_isolation@plt
    0.024         7  heap_clean_get_context@plt
    0.024         7  pgbuf_check_bcb_page_vpid
    0.021         6  cubthread::get_entry@plt
    0.021         6  or_mvcc_get_chn
    0.021         6  prior_lsa_next_record@plt
    0.021         6  log_tdes::is_system_transaction@plt
    0.021         6  heap_prepare_get_context@plt
    0.021         6  spage_update@plt
    0.021         6  tp_domain_disk_size
    0.021         6  logtb_get_current_tran_index@plt
    0.021         6  heap_link_watchers
    0.021         6  or_mvcc_get_flag
    0.021         6  or_init
    0.017         5  prior_lsa_next_record
    0.017         5  db_private_free_release
    0.017         5  log_append_get_zip_undo@plt
    0.017         5  LZ4_resetStream_fast@plt
    0.017         5  heap_get_last_version@plt
    0.017         5  logtb_find_current_isolation@plt
    0.017         5  ATOMIC_CAS_ADDR<pgbuf_bcb>
    0.017         5  heap_unfix_watchers
    0.017         5  pr_clear_value
    0.017         5  log_append_get_zip_undo
    0.017         5  log_append_get_zip_redo
    0.017         5  lf_list_find@plt
    0.017         5  logtb_find_current_tranid
    0.017         5  LZ4_compressBound@plt
    0.017         5  pgbuf_is_lsa_temporary@plt
    0.014         4  logpb_get_memsize@plt
    0.014         4  heap_get_record_data_when_all_ready@plt
    0.014         4  pgbuf_ordered_unfix@plt
    0.014         4  log_prior_lsa_append_add_align
    0.014         4  mspace_malloc@plt
    0.014         4  or_chn@plt
    0.014         4  lock_object@plt
    0.014         4  db_value_domain_init@plt
    0.014         4  lf_hash_find_or_insert
    0.014         4  or_header_size@plt
    0.010         3  heap_scan_cache_allocate_recdes_data
    0.010         3  spage_get_slot@plt
    0.010         3  pr_clear_value@plt
    0.010         3  hl_lea_free@plt
    0.010         3  heap_attrinfo_clear_dbvalues@plt
    0.010         3  hl_lea_alloc@plt
    0.010         3  PGBUF_THREAD_HAS_PRIVATE_LRU
    0.010         3  pr_type_from_id
    0.010         3  spage_is_record_located_at_end
    0.010         3  log_append_realloc_data_ptr
    0.010         3  __GI_madvise
    0.007         2  pr_type_from_id@plt
    0.007         2  heap_classrepr_get@plt
    0.007         2  pgbuf_notify_vacuum_follows@plt
    0.007         2  mr_data_readval_int
    0.007         2  lock_compat
    0.007         2  pgbuf_is_temporary_volume
    0.007         2  pgbuf_bcb_set_dirty
    0.007         2  heap_init_get_context@plt
    0.007         2  cub_free@plt
    0.007         2  cubthread::lockfree_hashmap<lk_res_key, lk_res>::find_or_insert@plt
    0.007         2  lock_create_search_key
    0.007         2  cubmem::single_block_allocator::get_size
    0.007         2  or_chn
    0.007         2  lock_free_entry
    0.007         2  heap_is_valid_oid
    0.007         2  lf_freelist_retire@plt
    0.003         1  or_mvcc_set_repid_and_flags@plt
    0.003         1  or_mvcc_set_header
    0.003         1  pgbuf_bcb_register_hit_for_lru
    0.003         1  hl_lea_free
    0.003         1  prior_update_header_mvcc_info
    0.003         1  cubmem::block_allocator::block_allocator@plt
    0.003         1  or_get_int
    0.003         1  pgbuf_bcb_get_zone
    0.003         1  cubmem::single_block_allocator::single_block_allocator@plt
    0.003         1  pgbuf_should_move_private_to_shared
    0.003         1  heap_classrepr_entry_remove_from_LRU
    0.003         1  heap_classrepr_get_from_record
    0.003         1  vacuum_produce_log_block_data
    0.003         1  heap_classrepr_free@plt
    0.003         1  heap_get_file_type
    0.003         1  tp_domain_disk_size@plt
    0.003         1  mspace_free@plt
    0.003         1  pgbuf_lru_adjust_zone1
    0.003         1  cub_realloc
    0.003         1  lf_tran_compute_minimum_transaction_id@plt
    0.003         1  lf_hash_delete_already_locked@plt
    0.003         1  pthread_mutex_trylock@plt
    0.003         1  lock_get_class_lock@plt
    0.003         1  db_private_free_release@plt
    0.003         1  thread_get_tran_entry
    0.003         1  __GI___pthread_mutex_destroy
